영어,번역문
stationary qubit,정적 큐비트
super-resolution,초 분해능
superconducting circuit,초전도 회로
superdense coding,초압축 코딩
Sycamore,시카모어
symmetry-protected topological,대칭-보호 토폴로지
thermal state,열적상태
time of arrival generator,도착 시간 발생기
topological cluster state,위상 클러스터 상태
topological order,위상론적 질서
transition,전이
true random number generator,순수 난수 발생기
trusted repeater,신뢰 중계기
tunnel time,터널링 시간
twin-beam,쌍둥이-빔
twin-beam state,쌍둥이-빔 상태
two-level atom,이준위 원자
two mode squeezing,이중 모드 조임
ultimate quantum limit,궁극적 양자 한계
unbiased estimator,비편향 추정자
unitary matrix,유니타리 행렬
unitary operation,유니타리 연산
universal gate,범용 게이트
Zeeman effect,제이만 효과
